Id	Desc	Name	ResPath	Style	Kind	Type	Accord2Type	Layer	InDoor	CanDrag	CanSeledInEditorMode	CanSeledInGameMode	AtlasName	TexName	Info0	Info1	Info2	Info3
41	高级花瓶	fb_zijiancheng_gaojihuaping01	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojihuaping01	1	10	-1	0	FurnitureObstacle	2	1	1	1	FurUI_TL3D	gaojihuaping				
42	高级花坛01	fb_zijiancheng_gaojihuatan01da	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojihuatan01da	1	1	-1	0	FurnitureObstacle	0	1	1	1	FurUI_TL3D	gaojihuatan04				
43	高级花坛单	fb_zijiancheng_gaojihuatan01dan	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojihuatan01dan	1	1	-1	0	FurnitureObstacle	0	1	1	1	FurUI_TL3D	gaojihuatan03				
44	高级花坛转弯	fb_zijiancheng_gaojihuatan01wan	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojihuatan01wan	1	1	-1	0	FurnitureObstacle	0	1	1	1	FurUI_TL3D	gaojihuatan02				
45	高级花坛直	fb_zijiancheng_gaojihuatan01zhi	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojihuatan01zhi	1	1	-1	0	FurnitureObstacle	0	1	1	1	FurUI_TL3D	gaojihuatan01				
46	高级室内	fb_zijiancheng_gaojiishinei01	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojiishinei01	1	0	-1	13	Wall	1	1	1	1	NULL	NULL				
47	高级室内地板	fb_zijiancheng_gaojiishinei01b	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojiishinei01b	1	0	-1	2	FurnitureBearing	1	1	1	1	NULL	NULL				
48	高级室内墙	fb_zijiancheng_gaojiishinei03	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojiishinei03	1	0	-1	13	Wall	1	1	1	1	NULL	NULL				
49	高级房子	fb_zijiancheng_gaojijianzhu01	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojijianzhu01	1	0	-1	8	FurnitureObstacle	0	0	1	1	FurUI_TL3D	gaojifangwu				
50	高级门	fb_zijiancheng_gaojijianzhu02	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojijianzhu02	1	0	-1	13	FurnitureObstacle	0	0	0	0	FurUI_TL3D	gaojidamen				
51	高级假山	fb_zijiancheng_gaojijiashan03	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojijiashan03	1	1	-1	0	FurnitureObstacle	0	1	1	1	FurUI_TL3D	gaojijiashan				
52	高级库房	fb_zijiancheng_gaojikufang01	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojikufang01	1	0	-1	8	FurnitureObstacle	0	1	1	1	FurUI_TL3D	gaojikufang				
53	高级盆景1	fb_zijiancheng_gaojipenjing01	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojipenjing01	1	10	-1	0	FurnitureObstacle	2	1	1	1	FurUI_TL3D	gaojipenjing				
54	高级盆景2	fb_zijiancheng_gaojipenjing02	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojipenjing02	1	10	-1	0	FurnitureObstacle	2	1	1	1	FurUI_TL3D	gaojipenjing01				
55	高级屏风	fb_zijiancheng_gaojipingfeng01	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojipingfeng01	1	10	-1	0	FurnitureObstacle	2	1	1	1	FurUI_TL3D	gaojipingfeng				
56	高级石凳	fb_zijiancheng_gaojishideng01	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojishideng01	1	1	-1	0	FurnitureObstacle	0	1	1	1	FurUI_TL3D	shideng				
57	高级石狮子	fb_zijiancheng_gaojishishizi01	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojishishizi01	1	1	-1	0	FurnitureObstacle	0	1	1	1	FurUI_TL3D	gaojishizi				
58	高级石桌	fb_zijiancheng_gaojishizhuo01	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojishizhuo01	1	1	-1	0	FurnitureObstacle	0	1	1	1	FurUI_TL3D	shizhuo				
59	高级树	fb_zijiancheng_gaojishu01	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojishu01	1	2	-1	0	FurnitureObstacle	0	1	1	1	FurUI_TL3D	gaojishu				
60	高级书柜	fb_zijiancheng_gaojishugui01	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojishugui01	1	7	-1	0	FurnitureObstacle	2	1	1	1	FurUI_TL3D	gaojishujia				
61	高级香炉	fb_zijiancheng_gaojixianglu01	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojixianglu01	1	10	-1	0	FurnitureObstacle	2	1	1	1	FurUI_TL3D	xianglu				
62	高级衣柜	fb_zijiancheng_gaojiyigui01	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojiyigui01	1	6	-1	0	FurnitureObstacle	2	1	1	1	FurUI_TL3D	gaojiguizi				
63	高级椅子1	fb_zijiancheng_gaojiyizi01	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojiyizi01	1	7	-1	0	FurnitureObstacle	2	1	1	1	FurUI_TL3D	gaojishafa				
64	高级椅子2	fb_zijiancheng_gaojiyizi02	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_gaojiyizi02	1	7	-1	0	FurnitureObstacle	2	1	1	1	FurUI_TL3D	gaojishafa				
65	通用灯台	fb_zijiancheng_tongyongdengtai01	Furnitures/TL3D/zijiancheng_tongyong/fb_zijiancheng_tongyongdengtai01	0	10	-1	0	FurnitureObstacle	2	1	1	1	FurUI_TL3D	tongyongdengtai				
66	通用字画1	fb_zijiancheng_tongyongzihua01	Furnitures/TL3D/zijiancheng_tongyong/fb_zijiancheng_tongyongzihua01	0	9	-1	4	InDoorDecoration	1	1	1	1	FurUI_TL3D	dijishua				
67	通用字画2	fb_zijiancheng_tongyongzihua02	Furnitures/TL3D/zijiancheng_tongyong/fb_zijiancheng_tongyongzihua02	0	9	-1	4	InDoorDecoration	1	1	1	1	FurUI_TL3D	dijishua				
68	通用挂件	fb_zijiancheng_tongyongzihua03	Furnitures/TL3D/zijiancheng_tongyong/fb_zijiancheng_tongyongzihua03	0	9	-1	4	InDoorDecoration	1	1	1	1	FurUI_TL3D	guajian				
69	高级院子	gaojiYard	Furnitures/TL3D/zijiancheng_gaoji/gaojiYard	0	5	-1	2	Wall	0	1	1	0	FurUI_TL3D	pinjieqiang	82			
70	院子路构型2	FullPath002	Furnitures/Path/FullPath002	0	0	-1	3	OutDoorFrunitureBearing	0	0	0	0	NULL	NULL	3			
71	低级院子	dijiyuanqiangdijiyuanqiang	Furnitures/TL3D/zijiancheng_diji/dijiyuanqiang	0	5	-1	2	Wall	0	1	1	0	FurUI_TL3D	dijipinjieqiang				
72	窗帘	fb_zijiancheng_dijichuanglian01	Furnitures/TL3D/zijiancheng_gaoji/fb_zijiancheng_dijichuanglian01	0	9	-1	7	InDoorDecoration	1	1	1	0	FurUI_TL3D	dijishua		SocketName		
